tweet,class
fw nigga pussy,Offensive Language
well damn sure ai put pussy ass romo jersey,Offensive Language
mijo_lgi hear bitch nigga,Offensive Language
mijo_lgi bitch,Offensive Language
mika_tan would perfect w graham cracker flavor bun maple dougnut bar,No Hate and Offensive
mikediggem phone dead fag man,Offensive Language
mikeluckas oh pain meds make brain fuzzy though banjo kazooie sec,No Hate and Offensive
miketattaglia happy birthday hope bitch get something good,Offensive Language
mikethestatey sequester den fat color girl chase day street swingin da table wit one arm want pay,Offensive Language
mike_stud pussy,Offensive Language
mike_stud touch throb pussy,Offensive Language
mikesgraffix malachidupre trash talk win championships bore dude nationalchamps,No Hate and Offensive
mikeydjaro haha would go fag color reserve joeytaormina,Offensive Language
shut coon,Hate Speech
mileycyrus transform bad bitch get,Offensive Language
mileycyrus want suck pussy,Offensive Language
miley_highrus shyloooeee slap bitch,Offensive Language
militarytimes happen pussies presidents general fight war,Offensive Language
millercoors thank follow guy enjoy cold yellow belly right,No Hate and Offensive
millerlite follow everything company white trash,Hate Speech
mimistheone really seem love sandusky weirdo ur creepy ass cracker,Hate Speech
mimistheone stop troll u creepy ass cracker,Hate Speech
theyknownotwhat closet muzzie mayberryjustin allforcountry lilmissprepper ritzy_jewels,No Hate and Offensive
mirdinero ugly bitch cdfu,Offensive Language
mind free soul satan present u kingdom things mock u stay strong yahshua,No Hate and Offensive
misplaced_momma hello dare momma show glad dat u follow u lbe screamin hot dem pitchers eva b wit color men,No Hate and Offensive
misplaced_momma say da hood white trash,Hate Speech
misplaced_momma whitey gots pay fo da preparations,Hate Speech
missbrionline lanipopchicago realydotgdot mfn birthday pink champaign dat bitch,Offensive Language
misscleobb rachelereilly suck rachels sister snobby bitch n rach nice cant stand elissa snutty,Offensive Language
missjia sup nappy head hoe get quiet,Offensive Language
missmulgra start make monkey face behind,No Hate and Offensive
missrobinv pic red bone braid tiger back sale,No Hate and Offensive
_mariapetrova teabaggers weaken food environmental regulations infinitely scary lethal terrorism,No Hate and Offensive
missyankee sportsteamnews look royals wonder could decimate yankee farm system,No Hate and Offensive
lindnld klsouth shut nappy head hoe,Offensive Language
missyy_j happy birthday,Offensive Language
misterdimmadome spike bitch damn nail,Offensive Language
look like monkey,No Hate and Offensive
mistressofsham area bitch regardless imagine,Offensive Language
mitchtierney slings_x_arrows ai lady bitch,Offensive Language
mitchvorce sheeze yellow bone,No Hate and Offensive
mizzcreme pussy tho,Offensive Language
mmmprexton lol ive get retard actually think avi ive get call ugly black bitch like,Offensive Language
mobilesuitkwamz thugging bitch hard days,Offensive Language
moeeaseyamind bitch crazy,Offensive Language
moenkiana work fag,Offensive Language
moenkiana fine walk bitch,Offensive Language
better bitch :),Offensive Language
montea_rollin kayysavage serious bitch bitch niggas name ai fuccing witcho ass make shit,Hate Speech
montea_rollin kayysavage bitch ion talk shit ion even talk even name lol,Offensive Language
montulos lakers trash,Offensive Language
morbidmermaid swear god nigger better still hang work get hype,Hate Speech
morbidmermaid work today niglet,Hate Speech
morgaanita hahaha awe yea get date baddest bitch around,Offensive Language
morganselae youngmoneykem matty_kem get tits big hoe even,Offensive Language
clint_dempsey traeabn bitch say even like trae fuckin poser,Offensive Language
little bitch general fug seattle,Offensive Language
ohhh smell challenge usa vs usa next time see ya bitch ass,Offensive Language
peace negro,Offensive Language
unfortunately correct sir still eat shit die though bitch :),Offensive Language
morgan_savannah fuck bitch,Offensive Language
morning_joe nbc elect spokesman nbc lot trouble friends longer watch nbc trash,No Hate and Offensive
morning_joe wonder many us citizens join isis listen joe scarborough trash black president good job joe,Offensive Language
morning_joe bitch complain bad vet treat yet still will send war sick idiot,Offensive Language
mosoknowso shaegreyyy thats goddamn terrible joke gbe lookin bitch,Offensive Language
motherofbraylon already know go feed ah bitch ready walk door,Offensive Language
tink u do make funny nigga come lookatathehood get nightclubs trannies crackheads dealers come,Offensive Language
nature biology dog eat much bird everything seem human term,No Hate and Offensive
mrcatloverx text bitch,Offensive Language
mrfayoh im proud wacko bird bout,No Hate and Offensive
mrinfernushd squad builders get bitch,Offensive Language
grade pussy,Offensive Language
mrmooncricket atblackface uncleunco bobbybotsods fuckthemallcops bitch proud black ur samba,Offensive Language
mrmooncricket atblackface uncleunco bobbybotsods fuckthemallcops ugly gay nigga bitch fuck peace shit,Hate Speech
mrmooncricket fuckthemallcops atblackface uncleunco bobbybotsods y'all coons n uncle toms,Hate Speech
mrmooncricket fuckthemallcops nigga see yo ass da welfare center punk bitch ai worth time,Offensive Language
mrmooncricket fuckthemallcops work something adults money borrow money break bitch,Offensive Language
mrmooncricket fuck stupid ass coward ass punk bitch faggot ass racist piece shit punk bitch ai worth time,Hate Speech
mrmooncricket rape course way could get pussy smh,Offensive Language
mrmooncricket rich haha u break bitch women would ever fuck lol,Offensive Language
mrmooncricket oh hell fuck uncle tom bitch remember yo punk break ass,Offensive Language
mrnwachukwu naw boys trash start coast,Offensive Language
mrpoonsoaker lmao hella skinny bitch like,Offensive Language
mrredmartian pic trash ck dry af,Offensive Language
mrwoofless bitch,Offensive Language
send hoe ai nobody go play geez lmao ask,Offensive Language
mr_lewis brookebrooklyn ohh yaa want brooke pinkie toe bang coffee table twat lol,Offensive Language
mr_ritchie_j us decide drink everclear go yankees game two make seat,No Hate and Offensive
mr__rude fuck hate lmao thank little dick van dyke,Offensive Language
mrszookeeper cornfrmr mary ask say part eat white-you throw yellow away,No Hate and Offensive
white hoe bro lol,Offensive Language
wake bake school hoe,Offensive Language
yh niggah yh shyt dope trust fam,Offensive Language
msmyag yep bitch dumb af loyal dumb lol,Offensive Language
ms_marrie tipsy try relate hoe mild sauce make relevant lol,Offensive Language
ms_marrie think need see say bitch question,Offensive Language
yeah bitch eh life suck everyone equal opportunity lose shirt divorce court,Offensive Language
murdaaamike wow put slit trophies u,No Hate and Offensive
murphmcmahon swear think describe pussy . ... gotta go bed,Offensive Language
mybuttsweats ay nigguh ya come back,Offensive Language
mykat_meows know hoe-less know congregate,Offensive Language
mykat_meows bitch,Offensive Language
mykat_meows blockhead hoe ai nothing boo,Offensive Language
mynameshouldbe one problem theres pussies allow sorry kerrythekilla,Hate Speech
bitch im sick,Offensive Language
freeze bitch,Offensive Language
mhm bitch play life,Offensive Language
lmao yes bitch,Offensive Language
ncpostgrad bitch please,Offensive Language
nflbadwitch bitch please get shoot doug thejazzybelle,Offensive Language
nflonfox random think bird cross path fg try impact ball cause deflect course re-kick miss,No Hate and Offensive
thirsty giants always like ho ho ho,No Hate and Offensive
nickjspada averagexbishop make brownies tire bitch circumstances pretty good,Offensive Language
nickjspada enxadasfelipe ik felt like bad bitch take notch dex,Offensive Language
noaa earthdaynoaa da color folk allow join cuz hood folk worry da watermelon growin da chicken small,Offensive Language
notjohnross try respectful instead act like fuck retard,Offensive Language
not_ur_bro lmao nigga shoulda say would ball bc dat cold bitch wont stop blowin meswaagg,Hate Speech
ntxprogressive yeah cause anyone think clown go target buy oreos stupid look,No Hate and Offensive
nydnsports yankees ugh put one dead center stfrancisnews,No Hate and Offensive
nyrkelsmads dat damn dog eat betta den color folk,No Hate and Offensive
nyrkelsmads dat dawg live betta den color folk hood,Offensive Language
nyrkelsmads wishin local take da yankee game spoil,No Hate and Offensive
nyrkelsmads gots bein color,No Hate and Offensive
nyrkelsmads yeah man even scare nigger,Offensive Language
nyrkelsmads never survive da color hood,No Hate and Offensive
nyrkelsmads darkmeathook dat color guy braisin,Offensive Language
nyrkelsmads hey fag say aunts say,Hate Speech
nyrkelsmads davidortiz barackobama like da yankees,No Hate and Offensive
nyrkelsmads perfection brain cross wire something dont know come concentration maybe ghetto one,No Hate and Offensive
nyrkelsmads ware da color elite meet eat,Offensive Language
nyrkelsmads thank call fuck fag,Offensive Language
nyrkelsmads pup like bitch awesome go home,Offensive Language
ny_nastybaby lil bitch man keep name mouth ima say shhh,Offensive Language
nabilabuamirah redneck fuck turd cutter lyinest liars district make yhe,Offensive Language
nadinelumley suck commie bitch hajihuntinggrl,Offensive Language
naezus even piss color the_paradox piece shit buy one smh hate,Offensive Language
naiepolag may like stance cop would call cunt please stop copy tweet,Offensive Language
naomidanielson like trailer trash chick would name cat /-:,Offensive Language
nah shit get heat smartest mouth know get call retard do play game,Offensive Language
nashgrier purple monkey,No Hate and Offensive
nasshrodriguez linndaroose always patty never pussy,Offensive Language
nataiiaxxx ladygaga suck throb pussy,Offensive Language
natashablah suck pussy,Offensive Language
waspnse jews white race traitors sweep clean aryan race survive,Hate Speech
already hot white bitch hot latina get level,Offensive Language
naughtyboymusic bitch,Offensive Language
nautiwashere bitch drippin sauce,Offensive Language
naynooski kboavz one bobby bitch hot nigga,Offensive Language
feel see nothing wrong gta kill bc sole purpose game,No Hate and Offensive
ncoleycole u still mutt tho lol,No Hate and Offensive
ncoleycole u monkey bar lol,No Hate and Offensive
neeksbethatguy already bitch hahaha,Offensive Language
neeksbethatguy sign ghetto fuck lmaoo,Offensive Language
negroizzle anastasiapacana m_overture trust queer cake wheres passion make dammit,Offensive Language
nehmebazzi datboyrayt kid fag,Offensive Language
neodaregularguy oil say sumthin bout oil bitch cookin,Offensive Language
neontreezz pocbeauty white people sell african art cool okay blackish redskins doublestandard,No Hate and Offensive
new_dinero alright pussy,Offensive Language
newscommenter gatewaypundit hell need permission anything fat-assed ghetto whore,Offensive Language
newser big fuck deal cry baby niggers,Hate Speech
nexusaltase fuck right pussy,Offensive Language
drewbrees nigga still pull tho fuck bitch u stfu,Offensive Language
bitch scarry back fuck nigga fuck talk bout hoe ass nigga stop dat talk pull,Offensive Language
fuck nigga gonna wanna see tell nigga stop act like bitch,Offensive Language
nick_coffee bitch hit dm nigga aint dm back,Offensive Language
nicoleadietrich chug pee,No Hate and Offensive
nicolejeanxoxo hahahaha move bitch get wayyyeee,Offensive Language
nicolejeanxoxo haha pussy lololol,Offensive Language
nien_nunb search gay redneck episode play,Hate Speech
nigggapino bitch get trinna change,Offensive Language
wait karma bitch,Offensive Language
lucky,Offensive Language
bitch hella late go yesterday lol,Offensive Language
nipseyhussle nip im tryna buy copy crenshaw,No Hate and Offensive
niyas_destani burn tho jus like nicca,Offensive Language
njzfinest bitch,Offensive Language
nobeeetch iam_webster faggot,Offensive Language
nobeeetch faggot ass fuck snitch,Offensive Language
nohazardnoparty pibbzyx piersmorgan jim_mclaren wait day take boon entire nation,No Hate and Offensive
kindly fuck like say twice sound like little bitch bitch fuckin stalker,Offensive Language
nomeatballs mtaraban excite red velvet brownie,No Hate and Offensive
nomeek_justmilz trash yr waive lol,No Hate and Offensive
noshtickzone charlie brown christmas story rudolph island misfit toy,No Hate and Offensive
noshtickzone call pussy get block real quick bobby kelly cant say upset,Offensive Language
noiseymusic comparison beatles bunch cunts band matter face imo stone second,Offensive Language
norahodonnell dish texas trash talk pts racist jdickerson maybe gbush apologize sin would hide,Offensive Language
noreigastacks force lol mad bitch come mind thru every bar,Offensive Language
notevanlarkin bird feather flock together y'all,No Hate and Offensive
notevanlarkin facetime nigger,Offensive Language
notevanlarkin hope love dat bitch,Offensive Language
notreallygryan think cause saw biceps lmao jk im still bitch,Offensive Language
fuck stupid crackers,Offensive Language
fuck creepy ass nigguh lmao,Offensive Language
gezus __ get block faggot,Hate Speech
notsosweetpea like brownies,No Hate and Offensive
notsosweetpea soo hang makin brownies,No Hate and Offensive
noworriezzz basically mad hoe,Offensive Language
lmaoo pussy call cop also want find yu would gonna waste time,Offensive Language
nubianreine women get money hoe go come sound gay rather make money anyday,Offensive Language
numbersdnt_lie yeah hoe straight ima grab light blue pair,Offensive Language
dyke,Offensive Language
nyjusdntgaf like nig come home ever want,Hate Speech
nyjusdntgaf one care nigger,Offensive Language
nyjusdntgaf late niggers die first,Offensive Language
nyjusdntgaf nigger,Offensive Language
xdsmooth idk give bitch name,Offensive Language
bitch tellin,Offensive Language
white bitch,Offensive Language
oddbeast bitch get yo duck ass shit,Offensive Language
og_dakota lemme throw tranny,No Hate and Offensive
og_harm moetzart duckydynamo look nigger ass nigger shit right,Hate Speech
ole_vertybstard thereal_emandm lay brother honky,Offensive Language
ole_vertybstard yankee noodle fuck awesome ya bastard,Offensive Language
ole_vertybstard let honky know man lol,Offensive Language
omfgitsoscar basic trash,No Hate and Offensive
omg_itsbrooke hey hoe,Offensive Language
omgitskaric ima call retard ass,Offensive Language
otg_kapo thats call lol beyond ghetto smh man u needa quit playin come back,Offensive Language
oubad know countryass old bitch tn ur back,Offensive Language
thank invite tho bitch,Offensive Language
ovotiluoverdose niggers,Hate Speech
ovotiluoverdose build pussy lmao,Offensive Language
o_shititslaura haha cool hoe lmao jk get report supposedly fake account,Offensive Language
o_beknowing bitch take phone,Offensive Language
of_angelis yep messier dangerous environmentally-unfriendly retard new spout,Offensive Language
officialccane naah da twitter bird,No Hate and Offensive
officialskai dont tell fuck ball kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot,Hate Speech
officialskais kill ugly ass monkey look shit,Hate Speech
official_dcole gonna years old bitch watch lol,Offensive Language
ohaistepj smelly hater bitch,Offensive Language
ohhhchad come desperate hoe,Offensive Language
oltimebaseball yankees pauloneillyes matter,No Hate and Offensive
oldmanro check aint animate charlie murphy,No Hate and Offensive
ole_boy yes white wash go around repping hood say bunch ignorant nig term,Hate Speech
oleanderplume joke say oleander wife say son bitch ron yes hell get book,Offensive Language
calm little asian lol go flip bitch,Offensive Language
omgitstamz ho korina craycray,Offensive Language
fuck bitch,Offensive Language
on_point_prg fempop wendydavistexas take picture pussy hope super size huge grand canyon size,Offensive Language
on_point_prg wendydavistexas gregabbott_tx boy talk special kind stupid far leave statement retard,Offensive Language
on_point_prg another keyboard commando real life hide like little bitch,Offensive Language
onlyhiphopfacts get head hoe overbites schoolboyq,Offensive Language
duckydynamo trethreat band negro,Offensive Language
oprahsidenigga exotic bitch exotic things hoe aint loyal,Offensive Language
optimusodd mine say intimidator cause bitch handle,Offensive Language
liars ever republican teabagger asshats like stockboy pinoccio,Offensive Language
oreo nhl u zoom see hairy nipples,Offensive Language
originvlepic trash,No Hate and Offensive
oskzilla yaseenxkahn sleep niggah lol,Offensive Language
oskzilla bitch slap shadow realm,Offensive Language
oskzilla come draw paint niggah,Offensive Language
oskzilla fuck fag,Hate Speech
oskzilla fuck niggah gay lol,Hate Speech
oskzilla go sleep fag,Offensive Language
oskzilla san diego niggah,Offensive Language
oskzilla niggah gay,Offensive Language
oskzilla fair still faggot,Offensive Language
oskzilla wish niggah,Offensive Language
osvaldovause kik u nigglet need know out pool,Offensive Language
osvaldovause text u nigglet,Offensive Language
ottawapolitico fuck muzzie edict come feds prov govt,Offensive Language
ourcofe end ordination women faggot whose aim weaken split communion,Offensive Language
outterspaceswag chipchipperson chippah hop ai hangin wit dis wigger boy,Offensive Language
oxy_jon conleyfanclub one charlotte store course faggot,Offensive Language
oz_lito bitch ah mintue cdfuuu,Offensive Language
pcmag overprice complete trash even debatable,No Hate and Offensive
pdaburei bitch nigga,Offensive Language
bitch tits,Offensive Language
proseish know pussy ass coward weaker smaller like gz,Offensive Language
proseish send pussy ass cowards old sparky,Offensive Language
proseish yeah george zimmerman pussy ass coward,Offensive Language
pwilliamsd need clam half shell :-) get deep fry clam neck,No Hate and Offensive
pablomucholive hoe housewife,Offensive Language
pablyandrew paul mccartney faggot,Hate Speech
pacdagoat neck titties pussy,Offensive Language
pactha_mac imma shoot bitch,Offensive Language
pacific_tomb yeah us crackers devil,Offensive Language
pacman_dre_sb say something gorilla stop listen monkey music,Offensive Language
paid_my_dues yeah see son bitch owe money tell look,Offensive Language
paixj right hoe ai loyal,Offensive Language
pamschep bitch idiot troll spamblocked keep spew ur shit calfreedommom ralphyboyusa abc scottddolan,Offensive Language
pandah_pooh put money pussy,Offensive Language
twitter bird shape pancakes would start,No Hate and Offensive
parhambryce lllexiss alright call pussy also,Offensive Language
patdollard fuckin muzzie cunts deport savage,Hate Speech
patchy_beard g hos rush mean clearly like party,Offensive Language
patriotsorg screw ragheads,Hate Speech
pattty_b call bitch ass,Offensive Language
paulconroy habeshasuperman oh come little bitch u veto thrill watch,Offensive Language
fuckin yankees months meet pussy,Hate Speech
nah honkey lookin dude chr,No Hate and Offensive
obeymy_realness dryer bad ass eye fag,Hate Speech
penguingraham yup like straight bitch,Offensive Language
pennythegoat biebs get fuck right pussy,Offensive Language
pennythegoat look like little baby son bitch,Offensive Language
pennythegoat right pussy,Offensive Language
pepper_redbone yankees mets exactly folks favor get lovely old stadium,No Hate and Offensive
pepper_redbone yankees mets miss nyc nashville need pro al team closest kc tampa pretty bad south nl,No Hate and Offensive
pepper_redbone yankees mets miss pizza passion,No Hate and Offensive
pepper_redbone yankees mets oh yeah annoy damn duck call outta ban duck horn,No Hate and Offensive
pepper_redbone yankees get hope cause stink last night,No Hate and Offensive
perezhilton whole bunch trash need jus go away r jus trash,Offensive Language
perezhilton omg ppl gonna bitch,Offensive Language
ryantburnss hahaha chunky goalkeeper make save stomach,No Hate and Offensive
pete_or prefer zebra visually know lesser cost,No Hate and Offensive
penny_g angrybraveheart sheikhkhalifapm love h.birds use fee live wa state hv mtn s.ore,No Hate and Offensive
phantomgourmet someone give nip baileys irish cream coffee use suggestions,No Hate and Offensive
philhecken understand weak give anything jeter astros barely history yankees,No Hate and Offensive
piercethetit xenoss love hoe,Offensive Language
pimpbillclinton tareksaadmisr arabic one pussy gettin motha fucka,Offensive Language
pinchsuckblow lmoa high giraffe pussy,Offensive Language
pinche_escobar make yellow chompers candyass,No Hate and Offensive
pinkchocolatebk think beyond retard scary,Offensive Language
pipe_tyson nigga pussy get hand dawg,Offensive Language
plannedsickdays hey screen shoot djk wiki page update regard trash incident,No Hate and Offensive
plasticdom plz go starbucks ebola sound like really ghetto hood name tbh,Offensive Language
pnolia_jay shut bitch nigga,Offensive Language
back faggot,Hate Speech
poffalicious hell man retard good situps run weak tho,Offensive Language
look like mike vick bitch,Offensive Language
police_tactgear article flaw take first chp brpd well do even ghetto gals jammy hi-purnt well do,Offensive Language
powlengmawi yung nakalagay sa second page ng handout na may close end question etc tapos lalagay sa yellow pad,No Hate and Offensive
pravikingdino bitch,Offensive Language
pravikingdino like men faggot,Offensive Language
prayforjack new york niggas quick take bitch public boy lol,Hate Speech
pretty_warzone shouldve catch first time nigger,Offensive Language
take like bitch bra,Offensive Language
idgaf hoe,Offensive Language
primomars nicca u read type u aint slo long shoot dont play dumb litebrite lol,Offensive Language
princedemitri theweek russlljones typical hitchens type atheist watch doc hollywood hat god ready mock,No Hate and Offensive
princegreenjr hold back say retard tits fake,Offensive Language
prince_williamb mixyarts nothing shoe ignorant twat,Offensive Language
damn call bitch bruh lol,Offensive Language
fuck coon,Hate Speech
prissypisces talkin bout sluts hoe general,Offensive Language
msnbc meetthepress would spend money trash like,No Hate and Offensive
properetacet fuck mother faggot,Hate Speech
prophzilla hate blow like hipster hate faggot say love music base worst,Hate Speech
prophzilla honesty think internet full retard,Offensive Language
prophzilla go college want get ukulele quickly realise would bigger fag guitar kid quad,Offensive Language
prosperindia ho without ur vote lose election take oath pm today :-),No Hate and Offensive
protectyournet know right waste time think hr till start day retard,Offensive Language
pudingtane yeah think injuns think redskins politics alcoholism washingtondc,No Hate and Offensive
pushinuproses current favorite line shea moisture target cvs great dry curly color hair,No Hate and Offensive
pussybeezus whatever hoe,Offensive Language
pzfeed guy would get show spike could somehow revive son bitch would watch,Offensive Language
retard bruh lol,Hate Speech
qvc strawberry shortcake stack whip cream yellow spunge-cake slice strawberries freshly pick farm w kid,No Hate and Offensive
qovem play heimer support biggest faggot ever stupid cheese champion,Offensive Language
quantryse hairypotterz get block bitch porch drink yell holy shit.she right kanye,Offensive Language
quavostuntin bitch get dope panties ssshhh dramatic,Offensive Language
quechele u know hispanics takin job niggers yeah somethin like hispanic,Offensive Language
queenittybitty lmfao scan anything fat hoe hittin,Offensive Language
fresh_boy_will gonna compare sushi pussy tho ai dicks go sushi,Offensive Language
naw juss like make lil mad go long tho hate,No Hate and Offensive
queenshyba laughin screenshots bitch might code red,Offensive Language
queen_kaaat fuck right pussy,Offensive Language
qui_thepharaoh mildlydarkskin hes lie faggot use inspect element change number dollars account,Hate Speech
anastasiapacana yes like dick hate bitch,Offensive Language
raepaelmunturo worldstarfunny aye sae en feeld kawkin dyke,Offensive Language
raepaelmunturo apparently many bitch see,Offensive Language
rbesofii cant even fool color man wit dis bullshit,Offensive Language
real_kaysavage bitch go nawl,Offensive Language
funnypicsdepot bitch ass voice head haha,Offensive Language
supahfienmode bitch ass jorge haha ai work nigga,Offensive Language
drink hoe bro solo dolo,Offensive Language
biiitch start haha niggg grandma come hoe ya want try scoop ya today ya,Offensive Language
shut faggot,Offensive Language
rfradsham fuck bitch shrimp shorty midget dwarf infant jk,Offensive Language
ohwait_itskate pussy,Offensive Language
get sleep pussy,Offensive Language
rnic_bam hear let people know relationship problems argue hoe like stop,Offensive Language
rpopbox box yeah definitely guy fight lara cut ring well huge boon canelo,No Hate and Offensive
rsberto dumb haitian fake black faggot go haiti neck,Hate Speech
lmaoo fag,Hate Speech
rachijuana pop molly every day last year beatthatbitch,Offensive Language
mrmooncricket fuck punk ass racist lil dick bitch report fool,Offensive Language
raincaudillo word ur decisions include anchor feather infinity sign bird,No Hate and Offensive
rainaluvsa picture yes update pic add angel wing color thank represent ;),No Hate and Offensive
rainaluvsa intimidate pussies see sweet honest woman seriously could make stalk thing much easier,Offensive Language
happy birthday bitch,Offensive Language
hoe,Offensive Language
rasheed_sheen everything im outside come get bitch,Offensive Language
rasheed_sheen man damn dude come get bitch lml,Offensive Language
ratchetsue thing better bargain yankee bargain,No Hate and Offensive
raul_leura no_way_hoesaaay lmao nigga go beethoven bitch,Offensive Language
ravenpeltier jesuslovinj _b_r_y_c_e_ still bitch though,Offensive Language
ravenpeltier hoe ai loyal,Offensive Language
get money stop play old trash,No Hate and Offensive
ray_lakee fag fuckin pirelli tire black ass nigga whit white boy shirt nigga loosen lil bit.bowbow,Offensive Language
haha yeah say im little bitch,Offensive Language
realfannymagnet pick line like bet get much pussy number negative,Offensive Language
realgilbert hunters anthem go al gore go hi ho dairy al gore go,No Hate and Offensive
realniggasherm bitch,Offensive Language
realniggasherm wen ho dwn da road,Offensive Language
realnoth wonder career dump trash like belong thank greggutfeld point true color,Offensive Language
realpimpinken pimpinkendotnet sell bitch pussy til drip drop wet vet pet hey bitch,Offensive Language
realskipbayless kingjames little bitch,Offensive Language
realskipbayless haha much pay constantly know talk dumb ass wade trash,Offensive Language
realskipbayless man wilson black qb win chip talkn trash talk shine russell,No Hate and Offensive
realskipbayless course u would pc lemming.one say word nigger.the potential reek havoc society,Offensive Language
realwalliewall ms martinez fuckin cripple kid,Offensive Language
realwalliewall sheet cripple,Offensive Language
realydotgdot dat bitch dude,Offensive Language
real_liam_payne pussy cat,Offensive Language
real_liam_payne pussy,Offensive Language
rebellblume hat us trash tho lol,No Hate and Offensive
rednationblogga fuck faggot,Hate Speech
nigga know bitch,Offensive Language
reiddh agree fellow cracker,Hate Speech
rellokid george twitter call limit nigga talk fight drug gun bitch hoe,Offensive Language
rene_gadecowboy course bitch learn mom make guy feel like foot tall,Offensive Language
renoconfession one time band camp stick flute pussy spanish spring,Offensive Language
repgutierrez full call children children illegal border jumpers ms gang members,Hate Speech
repulsivetool band suck worse live fag gun pose,Hate Speech
residinero bitch crib cook cheese egg,Offensive Language
residinero finna hoop inside fuck retard say let know allergic reaction lip ass nigga,Offensive Language
residinero hoe bruhhh lol,Offensive Language
residinero ya bitch crib,Offensive Language
respectbox lefthooklounge texas trash bro,Offensive Language
retroreasoning think rpgs bird ai bird brain yo,No Hate and Offensive
retroreasoning retard pussy game notpc,Offensive Language
reverendgrim titsofanarchy like dat name dem sand niggers need know dare place da pecker order,Hate Speech
revolutionuk jesus would love muzzie torturers fuck animal savage,Hate Speech
rhyds_herrr shoulda come bird man shit light,Offensive Language
richiedev converses_on stay close please nigguh,Offensive Language
richbum_mitch say get lil bitch ai get memo,Offensive Language
richhomielexx tryanna explain sumn des young boys days know wat true pimp pimpin des hoe moma lmfaoo,Offensive Language
richardengel ugh lemme guess yellow cake hear story,No Hate and Offensive
richxinxflavor fag gtfo,Hate Speech
rickbakas hard kind hoe,Offensive Language
rickiroma bitch watch ya tone drag recycle bin bitch ass nigga gon end like limewire ol exe ass nigga,Offensive Language
rickiroma shut fuck guy mediocre wash basura juice sit win close game raiders jet faggot,Offensive Language
rickyngan target get high class hoe,Offensive Language
ricky___m bitch,Offensive Language
ricochavo oh cute fancy bitch,Offensive Language
get people face lol yet u r teabagger twitter dash shut fuck already,Offensive Language
righteouz growejr could chick boob face score fight better bitch make,Offensive Language
righteouz growejr bitch jail,Offensive Language
righteouz lmfao remember rednecks school shit lol,Offensive Language
rihannahasaids free ticket could go chemistry ai bitch,Offensive Language
rihannahasaids know farquaad faggot,Offensive Language
rik_fiair pusha ye gonna write whole bitch,Offensive Language
nigger fighter huh,Hate Speech
rishaawilliams byee iverrishaa ghetto ass name,Offensive Language
rivenbarkyahoo hale_razor jim hogg county dirt poor democrat lean county hebronville seat near ghetto,Offensive Language
rnadjorell knock bitch soul body lol,Offensive Language
rniswirvinn lilkev_j ur wrong stupid nigger,Hate Speech
god bitch bad,Offensive Language
thank go clean trash ya lil nasty lol,No Hate and Offensive
robfernau gregabbott_tx nra dead baby pile like trash dump something proud,Offensive Language
ha lol like selenas horny bitch lol,Offensive Language
robertgbeckel know good ho-ho andreatantaros answer give ho-ho whoa thefive,No Hate and Offensive
robincoldiron god damn bitch smh run away,Offensive Language
robinfury drake bitch make like phonte much track,Offensive Language
roc_ss ballhawk_carter nah son ca go half girl bitch want spend fake hair,Offensive Language
like let em bring da heat dis bitch linkup bro,Offensive Language
one rawest niccas doin dis shit,Offensive Language
fr finna bam nicca say yu lucky jus get robbery call,Offensive Language
bro fist bitch shit,Offensive Language
song hoe,Offensive Language
ronanfarrow yeah know anglo-american principles.slavery hate racism,No Hate and Offensive
pharrell give trash non-basketball soundtrack y'all still problems servers,No Hate and Offensive
dawg trash momma get charge litter drop school,No Hate and Offensive
roodee_poo aye bitch,Offensive Language
disaster pussy thing wreck,Offensive Language
rosaalbae faggot send hella nudes hmmm,Offensive Language
roscoedash lmao soft ass nigga try act tough little bitch sit watch sideline pussy,Hate Speech
roscoedash shut fuck wack fuck garbage mohawk faggot stop make music shovel snow scrub,Offensive Language
rosegoldbenzo duh lol tweet eat pussy back tongue make obvious lol,Offensive Language
rosie politicususa yrs till next pres bitch bout o-dumb-a leave,Offensive Language
rottenstench dat charlie,No Hate and Offensive
rottenstench tank lot dare mr pubes love uncle tom :),Offensive Language
rotten_soil captfaggotpants boys sure come wit crazy name day never talk faggot,Offensive Language
royallykate say one fill empty hole inside worship royal u kno may rag snotty bitch,Offensive Language
green bananas better yellow ones,No Hate and Offensive
rubyfakhoury nyquil_dreams guynamedjordan let forget fact everyone mother yellow fever,No Hate and Offensive
asains take wu tang clan draft suppose half breed like miketaylorshow fallinginthedraft,No Hate and Offensive
rugarickrockers ima make sick entrance song nig,Offensive Language
let know lol go kill hoe,Offensive Language
runuldorants faggot sack,Hate Speech
russelltpot say would beat like bitch put foot neck shoot,Offensive Language
russelltpot lol dude wish get would make pussy like cry enemy,Offensive Language
bitch boy,Offensive Language
bitch,Offensive Language
reason hit know pussy get cool point,Offensive Language
lie hurt like bitch bruise arm would suggest lol,Offensive Language
ryeordie niggas tell bitch make real niggas kind real,Offensive Language
rylannwilliams ok chill love bird lol,No Hate and Offensive
rylannwilliams whooo chelsey fuck lol juss bitch,Hate Speech
sammi_boyden bruh finally roll like rednecks (': drug dealers,Hate Speech
sammi_boyden idk let redneck shit ask samuela,Offensive Language
sammi_boyden hang concert smh ima kill bitch,Offensive Language
sammi_boyden well cunt suck ass,Hate Speech
